Version, NC, NO, E_Module, E_Line, T_Module, T_Line, Release Date
v2.6.13, 752, 3603, 5215, 573223, 18090, 6988294, 2005-08-28
v2.6.14, 664, 3311, 5223, 495283, 18434, 7143378, 2005-10-27
v2.6.15, 829, 4662, 6026, 616945, 18811, 7289690, 2006-01-02
v2.6.16, 925, 4851, 6641, 570762, 19251, 7479597, 2006-03-19
v2.6.17, 972, 5250, 6167, 579964, 19553, 7587693, 2006-06-17
v2.6.18, 1075, 5785, 8944, 586438, 20208, 7752811, 2006-09-19
v2.6.19, 1006, 6199, 7972, 733880, 20936, 7975961, 2006-11-29
v2.6.20, 737, 4457, 5793, 377755, 21280, 8102419, 2007-02-04
v2.6.21, 827, 4585, 6443, 452257, 21614, 8246160, 2007-04-25
v2.6.22, 953, 6012, 7532, 691634, 22411, 8499361, 2007-07-08
v2.6.23, 1034, 6173, 7122, 704767, 22530, 8566165, 2007-10-09
v2.6.24, 1672, 8772, 9336, 858220, 23062, 8859545, 2008-01-24
v2.6.25, 2008, 10868, 9535, 1065087, 23810, 9231929, 2008-04-16
v2.6.26, 1739, 8851, 8477, 837108, 24270, 9411735, 2008-07-13
v2.6.27, 1724, 9785, 12258, 1260098, 24353, 9629905, 2008-10-09
v2.6.28, 1584, 8228, 9492, 943440, 25254, 10114899, 2008-12-24
v2.6.29, 1978, 10619, 10095, 1350113, 26667, 10931507, 2009-03-23
v2.6.30, 2067, 11245, 9772, 1385365, 27878, 11556588, 2009-06-09
v2.6.31, 1715, 10089, 8819, 1265789, 29110, 11967033, 2009-09-09
v2.6.32, 1688, 10134, 10229, 1576515, 30485, 12528554, 2009-12-02
v2.6.33, 1504, 10468, 9515, 1239188, 31565, 12909402, 2010-02-24
v2.6.34, 1420, 8938, 10963, 811394, 32297, 13239483, 2010-05-16
v2.6.35, 1555, 9095, 8817, 1104325, 33316, 13464117, 2010-08-01
v2.6.36, 1507, 8881, 9096, 1133885, 34298, 13418714, 2010-10-20
v2.6.37, 1810, 10455, 10886, 1521316, 35188, 13912822, 2011-01-04
v2.6.38, 1410, 9064, 8680, 827270, 35866, 14205804, 2011-03-14
v2.6.39, 1348, 9871, 10597, 915478, 36707, 14529213, 2011-05-18
v3.0, 1325, 8795, 7818, 880569, 36783, 14643313, 2011-07-21
v3.1, 1175, 8394, 8791, 908516, 37086, 14766834, 2011-10-24
v3.2, 0, 0, 11360, 1011563, 37618, 14995713, 2012-01-04
v3.3, 1470, 10052, 10413, 779975, 38083, 15162406, 2012-03-18
v3.4, 1458, 10500, 10892, 818291, 38567, 15380953, 2012-05-20
v3.5, 1335, 10562, 9413, 876146, 39097, 15592715, 2012-07-21
v3.6, 1478, 9848, 8182, 675960, 39734, 15865121, 2012-09-30
v3.7, 1691, 11436, 13530, 1035204, 40906, 16188081, 2012-12-10
v3.8, 1561, 12014, 11278, 823773, 41521, 16413918, 2013-02-18
v3.9, 1610, 11445, 10946, 837029, 42424, 16683274, 2013-04-28
v3.10, 13695, 99524, 10254, 912364, 43018, 16952547, 2013-06-30
v3.11, 1520, 10499, 9610, 1017878, 44005, 17399642, 2013-09-02
v3.12, 1413, 10596, 8566, 815972, 44591, 17723930, 2013-11-03
v3.13, 1541, 11867, 9762, 605282, 44975, 17927278, 2014-01-19
v3.14, 1729, 11769, 10500, 782125, 45940, 18269059, 2014-03-30
v3.15, 1546, 13403, 10797, 871130, 46788, 18628944, 2014-06-08
v3.16, 1547, 12390, 9759, 743128, 47433, 18876200, 2014-08-03
v3.17, 1570, 11876, 10258, 898840, 47503, 18860759, 2014-10-05
v3.18, 1452, 11010, 9132, 704439, 47986, 18991168, 2014-12-07
v3.19, 1396, 12334, 10638, 733774, 48440, 19126975, 2015-02-08
v4.0, 16522, 128057, 8968, 587163, 48957, 19309454, 2015-04-12
v4.1, 1341, 11707, 9932, 634318, 49457, 19508862, 2015-06-21
v4.2, 0, 0, 10715, 1288335, 50795, 20308811, 2015-08-30
v4.3, 0, 0, 10209, 816524, 51570, 20617827, 2015-11-01
v4.4, 1551, 12714, 10016, 730440, 52221, 20861516, 2016-01-10
v4.5, 1425, 11850, 10618, 770797, 52916, 21152861, 2016-03-13
v4.6, 1602, 13276, 10064, 766322, 53660, 21421737, 2016-05-15
v4.7, 1431, 12215, 9790, 688469, 54400, 21719518, 2016-07-24
v4.8, 1595, 13227, 11363, 907127, 55503, 22068641, 2016-10-02
v4.9, 1956, 15528, 11179, 987030, 56233, 22345209, 2016-12-11
v4.10, 13770, 115798, 11726, 993822, 57202, 22839925, 2017-02-19
v4.11, 1522, 12456, 12506, 762564, 57994, 23137223, 2017-04-30
v4.12, 1673, 14179, 12396, 1567601, 59845, 24171207, 2017-07-02
v4.13, 1532, 12737, 10734, 1052868, 60582, 24766835, 2017-09-03
v4.14, 1598, 13322, 23168, 962347, 61290, 25041721, 2017-11-12
v4.15, 1773, 14570, 13199, 898671, 62303, 25364560, 2018-01-28
v4.16, 1587, 13414, 12060, 822847, 62915, 25559247, 2018-04-01
v4.17, 1479, 13470, 14258, 1475456, 61362, 25379344, 2018-06-03
v4.18, 1664, 12919, 12939, 1140772, 61003, 25281298, 2018-08-12
v4.19, 1504, 13765, 11616, 744287, 61734, 25588235, 2018-10-22
v4.20, 27695, 236064, 11257, 881170, 62481, 25955938, 2018-12-23
v5.0, 18601, 158638, 11941, 807060, 63135, 26202826, 2019-03-03
v5.1, 1767, 12500, 11855, 785194, 63873, 26460192, 2019-05-05
v5.2, 1568, 13727, 30563, 1048123, 64587, 26551812, 2019-07-07
v5.3, 1780, 14103, 13223, 1275301, 65261, 27141809, 2019-09-15
v5.4, 1622, 14246, 12437, 1046164, 65701, 27537890, 2019-11-24
v5.5, 1622, 13986, 11638, 801262, 66493, 27855258, 2020-01-26