Version,NT,NO,E_Module,E_Line,T_Module,T_Line
v3.16-rc7, 47, 128, 158, 1970, 47433, 18875877
v3.17, 1570, 11876, 10285, 899523, 47503, 18860749
v3.17-rc1, 0, 0, 1386, 23017, 47500, 18854128
v3.17-rc2, 49, 218, 234, 3876, 47503, 18855256
v3.17-rc3, 99, 209, 339, 4436, 47501, 18856952
v3.17-rc4, 48, 161, 154, 2169, 47501, 18856965
v3.17-rc5, 108, 272, 331, 6048, 47503, 18859561
v3.17-rc6, 39, 160, 167, 1690, 47503, 18859305
v3.17-rc7, 82, 256, 285, 4488, 47503, 18861247
v3.18, 1452, 11010, 9153, 705175, 47986, 18990456
v3.18-rc1, 0, 0, 1655, 39854, 47955, 18977308
v3.18-rc2, 54, 413, 467, 19967, 47988, 18986765
v3.18-rc3, 125, 414, 505, 8434, 47982, 18988097
v3.18-rc4, 40, 164, 206, 3012, 47982, 18987445
v3.18-rc5, 66, 249, 271, 4291, 47986, 18990046
v3.18-rc6, 54, 168, 205, 2162, 47986, 18989932
v3.18-rc7, 48, 125, 144, 1667, 47986, 18991091
v3.19, 1396, 12334, 10656, 734383, 48440, 19126965
v3.19-rc1, 0, 0, 1226, 22422, 48437, 19123953
v3.19-rc2, 17, 49, 69, 1004, 48437, 19123529
v3.19-rc3, 35, 191, 183, 4122, 48437, 19123997
v3.19-rc4, 55, 164, 192, 2951, 48437, 19124164
v3.19-rc5, 79, 233, 263, 3525, 48439, 19126175
v3.19-rc6, 72, 195, 256, 4665, 48439, 19125596
v3.19-rc7, 58, 161, 236, 3795, 48439, 19127415
v3.2, 0, 0, 44937, 10512960, 37618, 14995047
v3.2-rc1, 0, 0, 1550, 32561, 37624, 14989324
v3.2-rc2, 79, 245, 286, 6425, 37625, 14989523
v3.2-rc3, 120, 347, 451, 7166, 37619, 14990687
v3.2-rc4, 68, 187, 245, 4889, 37619, 14991444
v3.2-rc5, 107, 305, 371, 6308, 37618, 14992936
v3.2-rc6, 54, 129, 160, 3212, 37618, 14992808
v3.2-rc7, 53, 165, 193, 4195, 37618, 14995505
v3.3, 1470, 10052, 10437, 780867, 38083, 15162320
v3.3-rc1, 0, 0, 1765, 75730, 38174, 15204618
v3.3-rc2, 135, 380, 586, 13815, 38166, 15201133
v3.3-rc3, 80, 208, 250, 4237, 38167, 15201480
v3.3-rc4, 118, 252, 501, 46849, 38077, 15161575
v3.3-rc5, 48, 150, 199, 2650, 38079, 15162683
v3.3-rc6, 56, 159, 193, 1929, 38079, 15162720
v3.3-rc7, 89, 152, 221, 1958, 38079, 15163874
v3.4, 1458, 10500, 10928, 823257, 38567, 15380245
v3.4-rc1, 0, 0, 1684, 31670, 38534, 15372079
v3.4-rc2, 129, 378, 611, 12357, 38561, 15376446
v3.4-rc3, 97, 286, 362, 6050, 38564, 15377852
v3.4-rc4, 70, 166, 221, 2986, 38564, 15377672
v3.4-rc5, 93, 238, 284, 4076, 38566, 15379296
v3.4-rc6, 65, 178, 225, 3553, 38566, 15379657
v3.4-rc7, 44, 101, 133, 1528, 38566, 15380449
v3.5, 1335, 10562, 9443, 877620, 39097, 15592767
v3.5-rc1, 0, 0, 1419, 25356, 39119, 15585273
v3.5-rc2, 44, 172, 197, 5298, 39127, 15586991
v3.5-rc3, 90, 248, 321, 6207, 39094, 15590136
v3.5-rc4, 75, 193, 322, 3430, 39097, 15590526
v3.5-rc5, 67, 204, 257, 2625, 39097, 15591681
v3.5-rc6, 71, 117, 172, 2551, 39097, 15591654
v3.5-rc7, 65, 161, 187, 2952, 39096, 15593010
v3.6, 1478, 9848, 8266, 678591, 39734, 15864417
v3.6-rc1, 0, 0, 1666, 29213, 39757, 15858090
v3.6-rc2, 82, 314, 486, 7966, 39733, 15859684
v3.6-rc3, 112, 368, 436, 9139, 39733, 15861681
v3.6-rc4, 65, 178, 222, 3281, 39734, 15861608
v3.6-rc5, 62, 98, 149, 1307, 39734, 15862735
v3.6-rc6, 104, 256, 376, 4903, 39734, 15863626
v3.6-rc7, 68, 140, 182, 2126, 39735, 15864706
v3.7, 1691, 11436, 13561, 1036431, 40906, 16188081
v3.7-rc1, 0, 0, 1771, 40329, 40938, 16182378
v3.7-rc2, 99, 232, 597, 16286, 40890, 16182538
v3.7-rc3, 152, 395, 449, 9450, 40899, 16184940
v3.7-rc4, 35, 172, 195, 3350, 40902, 16185302
v3.7-rc5, 47, 124, 202, 2834, 40901, 16186488
v3.7-rc6, 69, 131, 182, 3457, 40905, 16187379
v3.7-rc7, 61, 156, 162, 2024, 40905, 16188865
v3.7-rc8, 66, 133, 166, 2755, 40906, 16187928
v3.8, 1561, 12014, 11285, 824362, 41521, 16413918
v3.8-rc1, 0, 0, 2464, 41983, 41507, 16402247
v3.8-rc2, 29, 103, 200, 2993, 41502, 16403544
v3.8-rc3, 90, 290, 1405, 15840, 41505, 16403042
v3.8-rc4, 120, 238, 355, 12255, 41520, 16411433
v3.8-rc5, 84, 227, 248, 3288, 41520, 16411615
v3.8-rc6, 74, 204, 249, 3273, 41520, 16413180
v3.8-rc7, 73, 157, 198, 2730, 41521, 16413148
v3.9, 1610, 11445, 10983, 838755, 42424, 16683924
v3.9-rc1, 0, 0, 1583, 28924, 42424, 16674130
v3.9-rc2, 71, 213, 312, 5386, 42425, 16677472
v3.9-rc3, 109, 235, 355, 4242, 42425, 16677764
v3.9-rc4, 109, 247, 300, 4760, 42425, 16679976
v3.9-rc5, 75, 220, 270, 4562, 42425, 16680868
v3.9-rc6, 98, 205, 268, 4029, 42425, 16682539
v3.9-rc7, 69, 149, 167, 2741, 42427, 16682580
v3.9-rc8, 59, 124, 191, 3579, 42423, 16683855
v4.0, 16522, 128057, 35998, 7013664, 48957, 19308748
v4.0-rc1, 0, 0, 1248, 21241, 48947, 19303885
v4.0-rc2, 36, 144, 162, 1797, 48951, 19303840
v4.0-rc3, 109, 316, 340, 5676, 48954, 19306184
v4.0-rc4, 100, 234, 261, 4263, 48959, 19306815
v4.0-rc5, 74, 260, 281, 5138, 48956, 19307875
v4.0-rc6, 39, 114, 127, 1943, 48957, 19307812
v4.0-rc7, 41, 165, 183, 2272, 48957, 19309326
v4.1, 1341, 11707, 9965, 634858, 49457, 19508862
v4.1-rc1, 0, 0, 1243, 23438, 49453, 19504826
v4.1-rc2, 55, 164, 226, 4317, 49454, 19505147
v4.1-rc3, 47, 194, 230, 3701, 49456, 19507308
v4.1-rc4, 82, 269, 330, 7307, 49457, 19506379
v4.1-rc5, 53, 163, 184, 2051, 49456, 19507750
v4.1-rc6, 49, 151, 198, 3056, 49456, 19507844
v4.1-rc7, 36, 128, 145, 1891, 49457, 19509239
v4.1-rc8, 32, 95, 96, 1267, 49457, 19508754
v4.10, 13770, 115798, 37904, 6939726, 57202, 22839969
v4.10-rc1, 0, 0, 1419, 23578, 57202, 22833601
v4.10-rc2, 8, 25, 43, 858, 57203, 22834289
v4.10-rc3, 105, 264, 289, 4158, 57202, 22834639
v4.10-rc4, 90, 265, 312, 4664, 57203, 22836347
v4.10-rc5, 70, 236, 267, 3112, 57203, 22836851
v4.10-rc6, 93, 305, 327, 5326, 57203, 22838607
v4.10-rc7, 45, 149, 187, 2961, 57202, 22838552
v4.10-rc8, 43, 162, 187, 2133, 57202, 22839747
v4.11, 1522, 12456, 12531, 763456, 57994, 23137179
v4.11-rc1, 0, 0, 1722, 36474, 57986, 23125177
v4.11-rc2, 57, 279, 384, 6631, 57992, 23127374
v4.11-rc3, 88, 319, 368, 8666, 57994, 23130762
v4.11-rc4, 92, 311, 395, 6322, 57991, 23131026
v4.11-rc5, 58, 188, 209, 5106, 57992, 23134168
v4.11-rc6, 74, 208, 275, 4658, 57992, 23135128
v4.11-rc7, 56, 172, 190, 3223, 57993, 23136695
v4.11-rc8, 28, 98, 96, 1526, 57994, 23136681
v4.12, 1673, 14179, 12435, 1568681, 59845, 24171251
v4.12-rc1, 0, 0, 1703, 28450, 59835, 24162747
v4.12-rc2, 102, 306, 407, 5003, 59842, 24165263
v4.12-rc3, 59, 233, 266, 5998, 59844, 24166835
v4.12-rc4, 43, 206, 228, 3248, 59844, 24168295
v4.12-rc5, 113, 348, 418, 5952, 59846, 24169127
v4.12-rc6, 78, 208, 331, 5028, 59845, 24170688
v4.12-rc7, 48, 144, 160, 2169, 59845, 24170619
v4.13, 1532, 12737, 10795, 1054074, 60582, 24767399
v4.13-rc1, 0, 0, 1762, 55839, 60557, 24762058
v4.13-rc2, 69, 350, 450, 16283, 60580, 24770011
v4.13-rc3, 47, 191, 223, 3414, 60582, 24769805
v4.13-rc4, 96, 315, 399, 23029, 60583, 24762600
v4.13-rc5, 85, 248, 291, 6112, 60584, 24765372
v4.13-rc6, 65, 148, 201, 2158, 60584, 24766778
v4.13-rc7, 66, 158, 221, 2299, 60583, 24766907
v4.14, 1598, 13322, 23240, 965017, 61290, 25041721
v4.14-rc1, 0, 0, 14059, 44430, 61277, 25018055
v4.14-rc2, 65, 298, 365, 8057, 61282, 25022404
v4.14-rc3, 61, 262, 236, 4681, 61283, 25022981
v4.14-rc4, 139, 332, 420, 6595, 61287, 25025038
v4.14-rc5, 58, 211, 245, 2992, 61287, 25025296
v4.14-rc6, 91, 251, 312, 5146, 61288, 25027950
v4.14-rc7, 57, 153, 202, 3686, 61287, 25027418
v4.14-rc8, 37, 172, 12798, 14486, 61289, 25041078
v4.15, 1773, 14570, 13239, 899680, 62303, 25364560
v4.15-rc1, 0, 0, 2653, 48309, 62285, 25350642
v4.15-rc2, 96, 367, 626, 8707, 62291, 25352103
v4.15-rc3, 149, 434, 928, 13532, 62287, 25355783
v4.15-rc4, 74, 250, 339, 5457, 62288, 25354464
v4.15-rc5, 73, 232, 285, 5858, 62291, 25357699
v4.15-rc6, 54, 195, 249, 4106, 62296, 25359183
v4.15-rc7, 44, 118, 149, 1501, 62296, 25360354
v4.15-rc8, 60, 220, 259, 4775, 62300, 25362471
v4.15-rc9, 58, 205, 219, 3812, 62303, 25364753
v4.16, 1587, 13414, 12087, 824224, 62915, 25558461
v4.16-rc1, 0, 0, 1742, 31633, 62901, 25551463
v4.16-rc2, 36, 235, 281, 6289, 62911, 25552254
v4.16-rc3, 92, 306, 410, 4917, 62909, 25554112
v4.16-rc4, 94, 284, 350, 5213, 62911, 25555151
v4.16-rc5, 82, 302, 309, 5738, 62911, 25556501
v4.16-rc6, 28, 119, 135, 1774, 62911, 25556127
v4.16-rc7, 112, 348, 388, 6004, 62915, 25558581
v4.17, 1479, 13470, 14304, 1477692, 61362, 25379344
v4.17-rc1, 0, 0, 1737, 32394, 61344, 25368098
v4.17-rc2, 56, 277, 325, 8134, 61357, 25370624
v4.17-rc3, 81, 355, 396, 6636, 61359, 25373070
v4.17-rc4, 78, 232, 333, 3438, 61359, 25373380
v4.17-rc5, 71, 212, 263, 3477, 61358, 25375179
v4.17-rc6, 71, 198, 232, 4006, 61360, 25376359
v4.17-rc7, 91, 239, 288, 5336, 61362, 25379423
v4.18, 1664, 12919, 12996, 1142295, 61003, 25280652
v4.18-rc1, 0, 0, 1685, 27596, 60991, 25272780
v4.18-rc2, 47, 299, 347, 6228, 60997, 25274728
v4.18-rc3, 104, 254, 391, 4714, 60997, 25276132
v4.18-rc4, 67, 226, 283, 4193, 60999, 25276925
v4.18-rc5, 36, 141, 138, 1776, 60998, 25277977
v4.18-rc6, 100, 280, 356, 4796, 61000, 25278683
v4.18-rc7, 58, 168, 203, 3088, 61001, 25280419
v4.18-rc8, 45, 169, 195, 2279, 61002, 25280568
v4.19, 1504, 13765, 11637, 745221, 61734, 25588881
v4.19-rc1, 0, 0, 1637, 27869, 61722, 25581700
v4.19-rc2, 57, 210, 239, 3857, 61722, 25582927
v4.19-rc3, 78, 232, 325, 4894, 61724, 25583475
v4.19-rc4, 94, 235, 300, 4722, 61727, 25585369
v4.19-rc5, 51, 191, 228, 3368, 61732, 25586137
v4.19-rc6, 56, 188, 234, 2963, 61733, 25587234
v4.19-rc7, 101, 269, 314, 4548, 61733, 25587558
v4.19-rc8, 48, 124, 151, 1980, 61733, 25588860
v4.2, 0, 0, 58621, 12701723, 50795, 20308093
v4.2-rc1, 0, 0, 1594, 31666, 50821, 20300045
v4.2-rc2, 54, 206, 245, 7683, 50822, 20303186
v4.2-rc3, 99, 328, 525, 7159, 50795, 20305151
v4.2-rc4, 97, 245, 274, 3687, 50795, 20304960
v4.2-rc5, 83, 254, 296, 6518, 50795, 20308050
v4.2-rc6, 44, 146, 177, 2317, 50794, 20308353
v4.2-rc7, 62, 139, 156, 2535, 50794, 20309248
v4.2-rc8, 30, 107, 112, 1985, 50795, 20307961
v4.20, 27695, 236064, 59786, 13296464, 62481, 25955852
v4.20-rc1, 0, 0, 1589, 30213, 62464, 25945565
v4.20-rc2, 87, 267, 339, 5588, 62468, 25948023
v4.20-rc3, 45, 127, 147, 2178, 62467, 25947991
v4.20-rc4, 70, 265, 281, 4598, 62470, 25949731
v4.20-rc5, 110, 337, 388, 6925, 62479, 25951648
v4.20-rc6, 92, 262, 294, 4348, 62478, 25953920
v4.20-rc7, 40, 122, 150, 2612, 62481, 25954390
v4.3, 0, 0, 58996, 12753532, 51570, 20618453
v4.3-rc1, 0, 0, 1642, 22409, 51559, 20611762
v4.3-rc2, 42, 250, 472, 3354, 51561, 20612768
v4.3-rc3, 123, 368, 436, 7564, 51565, 20614636
v4.3-rc4, 54, 236, 287, 4149, 51567, 20616073
v4.3-rc5, 64, 129, 145, 1104, 51567, 20615859
v4.3-rc6, 30, 94, 151, 2015, 51567, 20617136
v4.3-rc7, 70, 208, 218, 2578, 51568, 20617294
v4.4, 1551, 12714, 10076, 732239, 52221, 20861424
v4.4-rc1, 0, 0, 1463, 31445, 52218, 20855393
v4.4-rc2, 77, 309, 334, 9646, 52217, 20854579
v4.4-rc3, 64, 213, 245, 5688, 52217, 20855049
v4.4-rc4, 104, 227, 363, 6640, 52221, 20858879
v4.4-rc5, 80, 180, 256, 3070, 52221, 20858807
v4.4-rc6, 90, 219, 263, 3508, 52221, 20860377
v4.4-rc7, 26, 83, 91, 1406, 52221, 20860391
v4.4-rc8, 19, 63, 73, 1157, 52221, 20861186
v4.5, 1425, 11850, 10648, 771579, 52916, 21152997
v4.5-rc1, 0, 0, 1709, 86226, 52999, 21197686
v4.5-rc2, 48, 267, 267, 5758, 53008, 21199458
v4.5-rc3, 105, 328, 464, 59032, 52914, 21148321
v4.5-rc4, 74, 248, 296, 4459, 52915, 21149144
v4.5-rc5, 72, 173, 229, 3144, 52915, 21150854
v4.5-rc6, 88, 300, 325, 8550, 52916, 21152088
v4.5-rc7, 35, 143, 150, 3359, 52916, 21152713
v4.6, 1602, 13276, 10144, 768686, 53660, 21421145
v4.6-rc1, 0, 0, 1697, 29431, 53649, 21413854
v4.6-rc2, 49, 185, 237, 3580, 53649, 21414136
v4.6-rc3, 73, 276, 697, 12267, 53654, 21417281
v4.6-rc4, 58, 127, 172, 2234, 53656, 21417183
v4.6-rc5, 55, 182, 199, 2888, 53657, 21418619
v4.6-rc6, 55, 170, 213, 3608, 53657, 21419339
v4.6-rc7, 84, 162, 208, 2786, 53659, 21420735
v4.7, 1431, 12215, 9844, 690661, 54400, 21719654
v4.7-rc1, 0, 0, 1442, 23979, 54396, 21713893
v4.7-rc2, 56, 200, 256, 4008, 54398, 21714403
v4.7-rc3, 96, 250, 336, 4825, 54400, 21715778
v4.7-rc4, 64, 234, 243, 3740, 54401, 21716280
v4.7-rc5, 48, 184, 242, 2893, 54401, 21717537
v4.7-rc6, 113, 248, 275, 4014, 54401, 21718031
v4.7-rc7, 48, 104, 123, 1718, 54401, 21719031
v4.8, 1595, 13227, 11441, 910106, 55503, 22068049
v4.8-rc1, 0, 0, 1577, 26985, 55498, 22060237
v4.8-rc2, 42, 250, 277, 4222, 55499, 22061543
v4.8-rc3, 95, 258, 282, 5793, 55500, 22064148
v4.8-rc4, 60, 193, 207, 3161, 55500, 22064745
v4.8-rc5, 102, 270, 368, 4655, 55499, 22066336
v4.8-rc6, 62, 155, 171, 1716, 55499, 22066264
v4.8-rc7, 93, 239, 259, 4049, 55502, 22067622
v4.8-rc8, 66, 152, 180, 2777, 55503, 22067789
v4.9, 1956, 15528, 11211, 987956, 56233, 22345793
v4.9-rc1, 0, 0, 1861, 33609, 56223, 22335412
v4.9-rc2, 47, 236, 287, 4060, 56228, 22337520
v4.9-rc3, 74, 269, 288, 4502, 56228, 22337748
v4.9-rc4, 85, 368, 450, 9441, 56226, 22340341
v4.9-rc5, 73, 191, 249, 3282, 56228, 22340583
v4.9-rc6, 96, 274, 301, 4741, 56231, 22342354
v4.9-rc7, 64, 183, 265, 4624, 56233, 22343836
v4.9-rc8, 79, 120, 192, 2019, 56233, 22345083
v5.0, 18601, 158638, 55000, 10076195, 63135, 26202758
v5.0-rc1, 0, 0, 2031, 32989, 63120, 26193105
v5.0-rc2, 58, 234, 482, 6746, 63125, 26193813
v5.0-rc3, 111, 362, 458, 6787, 63127, 26197338
v5.0-rc4, 83, 274, 278, 4816, 63126, 26197708
v5.0-rc5, 57, 190, 233, 2674, 63127, 26199532
v5.0-rc6, 99, 295, 342, 5149, 63134, 26201083
v5.0-rc7, 67, 169, 243, 3114, 63134, 26202537
v5.0-rc8, 75, 189, 220, 3095, 63135, 26202352
v5.1, 1767, 12500, 11893, 786108, 63873, 26460260
v5.1-rc1, 0, 0, 1760, 37639, 63870, 26452361
v5.1-rc2, 36, 264, 295, 8036, 63880, 26455975
v5.1-rc3, 154, 387, 558, 13226, 63864, 26454071
v5.1-rc4, 93, 226, 295, 5080, 63866, 26455887
v5.1-rc5, 79, 182, 213, 3127, 63866, 26456368
v5.1-rc6, 82, 261, 319, 4435, 63869, 26458481
v5.1-rc7, 40, 118, 157, 1781, 63870, 26458608
v5.2, 1568, 13727, 30602, 1050273, 64587, 26551746
v5.2-rc1, 0, 0, 22700, 195116, 64555, 26666542
v5.2-rc2, 81, 343, 5301, 34019, 64558, 26649593
v5.2-rc3, 103, 331, 8220, 78101, 64565, 26594542
v5.2-rc4, 80, 362, 3906, 40444, 64577, 26568028
v5.2-rc5, 62, 184, 209, 3160, 64577, 26568110
v5.2-rc6, 111, 365, 5474, 37111, 64586, 26550743
v5.2-rc7, 49, 127, 157, 1858, 64587, 26552529
v5.3, 1780, 14103, 13254, 1276030, 65261, 27140913
v5.3-rc1, 0, 0, 2025, 35090, 65296, 27135353
v5.3-rc2, 72, 328, 584, 8819, 65261, 27133484
v5.3-rc3, 65, 267, 306, 4898, 65261, 27135862
v5.3-rc4, 129, 422, 517, 7745, 65261, 27137117
v5.3-rc5, 64, 134, 173, 2255, 65260, 27138706
v5.3-rc6, 80, 240, 304, 4518, 65260, 27139094
v5.3-rc7, 77, 291, 321, 4462, 65261, 27141582
v5.3-rc8, 18, 64, 49, 1660, 65261, 27140474
v5.4, 1622, 14246, 12481, 1047441, 65701, 27538786
v5.4-rc1, 0, 0, 1899, 34796, 65700, 27530164
v5.4-rc2, 53, 225, 293, 4425, 65697, 27531953
v5.4-rc3, 86, 317, 396, 8089, 65694, 27529844
v5.4-rc4, 112, 272, 358, 4973, 65695, 27532121
v5.4-rc5, 93, 217, 246, 3649, 65695, 27531948
v5.4-rc6, 91, 294, 429, 6147, 65697, 27534669
v5.4-rc7, 98, 241, 294, 6548, 65707, 27538129
v5.4-rc8, 51, 178, 195, 7479, 65701, 27538408
v5.5, 1622, 13986, 11662, 802240, 66493, 27854362
v5.5-rc1, 0, 0, 1764, 28317, 66484, 27847531
v5.5-rc2, 66, 243, 423, 4873, 66484, 27847748
v5.5-rc3, 160, 464, 571, 9520, 66491, 27852248
v5.5-rc4, 14, 58, 62, 1393, 66492, 27851539
v5.5-rc5, 48, 128, 197, 2299, 66493, 27852958
v5.5-rc6, 59, 221, 244, 2441, 66493, 27852709
v5.5-rc7, 87, 274, 291, 4549, 66493, 27853760
v5.6-rc1, 905, 10772, 10668, 754652, 67315, 28159614
v5.6-rc2, 79, 327, 381, 14498, 67323, 28163782
v5.6-rc3, 88, 335, 412, 8532, 67327, 28163088
v5.6-rc4, 55, 190, 218, 3889, 67330, 28165283